AccountID,Account_Age,Seats,Paid_status,boards_last_30_days,projects_last_30_days,DAU_avg_last_30_days,integrations_count,Integrations_names,Templates_last_30_days
8833471,111,27,Paying,111,67,17,4,"Slack, Zapier, MS Team, Azure Cards",81
7546216,44,3,Paying,22,7,3,2,"MS Team, Azure Cards",74
5058477,35,54,Paying,35,20,42,5,"Jira, Google, Slack, Zapier, Dropbox",13
5838300,240,51,Paying,120,30,39,3,"MS Team, Azure Cards, Dropbox",42
6023065,74,26,Paying,111,30,18,1,Jira,65
8778087,67,23,Paying,100,57,19,3,"Dropbox, Slack, Google",23
6512267,56,26,Paying,56,38,19,4,"Google, Jira, Slack, Dropbox",6
3349434,36,55,Churned,0,0,15,4,"Google, Jira, Slack, Dropbox",94
3819055,30,52,Paying,45,26,43,3,"MS Team, Azure Cards, Dropbox",16
5634376,175,19,Paying,437,327,16,3,"Jira, Slack, Zapier",50
4148647,236,22,Paying,118,74,17,5,"Jira, Google, Slack, Zapier, Dropbox",1
5487963,19,60,Churned,0,0,27,0,,27
8511778,138,53,Churned,69,8,26,4,"Slack, Zapier, MS Team, Azure Cards",8
4053812,274,4,Churned,411,297,1,4,"Google, Jira, Slack, Dropbox",74
5072073,6,42,Paying,12,1,32,1,Jira,74
2282941,242,69,Churned,0,0,29,5,"Jira, Google, Slack, Zapier, Dropbox",8
7071268,54,55,Paying,27,10,41,4,"Slack, Zapier, MS Team, Azure Cards",8
5383555,94,54,Churned,47,3,35,1,Azure Cards,3
6277925,48,26,Paying,48,8,22,2,"Jira, Slack",92
2657205,34,42,Paying,51,18,35,3,"MS Team, Azure Cards, Dropbox",53
8845079,50,5,Paying,50,43,5,3,"Jira, Slack, Zapier",0
8402528,277,0,Churned,415,160,0,4,"Google, Jira, Slack, Dropbox",0
4240856,80,8,Paying,200,117,7,1,Slack,8
2843179,64,4,Churned,96,4,0,5,"Google, Slack, Zapier, Azure Cards, MS Team",5
7736628,341,5,Churned,511,20,1,5,"Google, Slack, Zapier, Azure Cards, MS Team",37
5370773,65,12,Paying,32,0,12,0,,62
2281644,135,42,Paying,202,92,33,1,Dropbox,28
1861246,88,11,Paying,220,18,6,2,"MS Team, Azure Cards",22
3627785,135,1,Churned,135,113,1,5,"Google, Slack, Zapier, Azure Cards, MS Team",28
4778403,9,66,Churned,13,12,35,1,Azure Cards,5
8774862,198,10,Churned,0,0,5,1,Slack,68
1965622,56,75,Churned,0,0,25,3,"MS Team, Azure Cards, Dropbox",92
8168155,153,39,Paying,153,99,30,4,"Google, Jira, Slack, Dropbox",28
2720801,81,25,Paying,40,33,18,5,"Google, Slack, Zapier, Azure Cards, MS Team",22
8119131,21,2,Churned,10,3,2,4,"Slack, Zapier, MS Team, Azure Cards",33
6850477,32,8,Paying,32,27,6,4,"Google, Jira, Slack, Dropbox",94
3141446,145,59,Churned,145,30,34,5,"Google, Slack, Zapier, Azure Cards, MS Team",23
2262149,29,32,Paying,14,0,26,4,"Slack, Zapier, MS Team, Azure Cards",14
1460328,25,56,Churned,0,0,29,3,"Jira, Slack, Zapier",10
6269384,79,8,Paying,158,61,8,3,"Dropbox, Slack, Google",85
8963932,24,64,Churned,24,20,35,5,"Google, Slack, Zapier, Azure Cards, MS Team",21
1778411,54,60,Churned,54,9,30,4,"Slack, Zapier, MS Team, Azure Cards",22
5534667,77,23,Churned,77,40,15,5,"Jira, Google, Slack, Zapier, Dropbox",31
5289929,236,30,Paying,472,15,18,1,Azure Cards,92
1299152,117,5,Churned,175,31,4,1,Jira,33
7546814,38,72,Churned,38,4,42,2,"MS Team, Azure Cards",0
8804868,175,51,Churned,87,24,36,2,"Jira, Slack",56
2142743,349,63,Churned,174,22,31,4,"Slack, Zapier, MS Team, Azure Cards",9
1447739,133,1,Paying,266,154,1,3,"Dropbox, Slack, Google",13
7094686,61,65,Churned,30,19,26,1,Zapier,10
5208533,111,42,Paying,277,103,35,4,"Slack, Zapier, MS Team, Azure Cards",29
3619341,153,4,Paying,306,227,4,2,"Jira, Zapier",64
5571968,121,1,Churned,60,22,1,1,Dropbox,14
3640571,15,3,Churned,0,0,3,5,"Jira, Google, Slack, Zapier, Dropbox",12
1709438,30,23,Paying,45,24,16,3,"MS Team, Azure Cards, Dropbox",72
8613911,26,4,Churned,26,0,2,3,"Jira, Slack, Zapier",12
8504919,4,20,Paying,6,5,19,5,"Jira, Google, Slack, Zapier, Dropbox",99
1077622,194,7,Paying,97,81,4,2,"Jira, Zapier",63
4692845,94,9,Churned,47,4,3,4,"Google, Jira, Slack, Dropbox",61
1328831,164,72,Churned,246,36,38,0,,77
3001332,159,73,Churned,0,0,39,2,"Jira, Zapier",82
5581480,31,52,Churned,0,0,17,4,"Google, Jira, Slack, Dropbox",11
1126521,163,34,Paying,163,71,29,0,,35
5569521,49,8,Paying,24,22,4,3,"Dropbox, Slack, Google",28
5434401,119,42,Paying,178,148,31,5,"Jira, Google, Slack, Zapier, Dropbox",9
5271901,36,62,Churned,0,0,36,1,Dropbox,78
7185204,26,42,Paying,26,5,36,3,"MS Team, Azure Cards, Dropbox",76
3758547,38,35,Paying,95,89,30,1,Jira,4
1797158,93,29,Paying,46,10,23,0,,62
4991191,42,39,Paying,105,68,30,2,"Jira, Zapier",21
8129136,38,0,Churned,0,0,0,2,"MS Team, Azure Cards",95
6299694,4,47,Paying,8,4,32,0,,42
2090190,40,34,Paying,100,66,28,4,"Slack, Zapier, MS Team, Azure Cards",39
7669175,134,29,Paying,201,167,26,0,,4
1842575,70,4,Churned,35,29,0,0,,50
6714593,185,3,Churned,277,182,1,3,"Dropbox, Slack, Google",71
6400638,143,16,Paying,143,133,11,3,"Jira, Slack, Zapier",85
4966138,143,50,Paying,357,262,43,0,,82
6733619,35,38,Paying,52,13,31,1,Jira,99
3620609,290,45,Paying,145,100,35,2,"Jira, Zapier",87
1152016,42,24,Paying,63,29,19,3,"MS Team, Azure Cards, Dropbox",67
6128820,234,5,Paying,234,88,3,2,"Jira, Slack",19
6561947,75,70,Churned,75,43,33,5,"Jira, Google, Slack, Zapier, Dropbox",100
5840778,48,59,Paying,120,23,45,3,"MS Team, Azure Cards, Dropbox",57
8199970,97,52,Churned,97,22,26,0,,58
1244045,12,40,Paying,18,11,30,2,"Jira, Slack",55
6122889,29,72,Churned,29,4,38,4,"Google, Jira, Slack, Dropbox",40
1961590,238,3,Churned,0,0,3,5,"Google, Slack, Zapier, Azure Cards, MS Team",83
6982685,35,3,Churned,35,1,3,5,"Jira, Google, Slack, Zapier, Dropbox",50
8370083,19,3,Churned,0,0,3,2,"Jira, Zapier",8
7791769,3,2,Churned,1,0,2,3,"Dropbox, Slack, Google",55
2945651,117,38,Paying,58,56,30,2,"Jira, Zapier",77
5388496,283,12,Churned,283,20,11,4,"Google, Jira, Slack, Dropbox",4
5608721,52,33,Paying,78,12,25,1,MS Team,12
6931497,226,6,Churned,226,193,0,0,,64
4209838,125,10,Churned,187,167,4,2,"Jira, Slack",5
8930447,13,19,Paying,26,10,14,1,Dropbox,32
6951403,34,4,Churned,17,15,4,0,,57
7782465,32,5,Paying,48,34,3,1,MS Team,85
4774247,39,46,Paying,39,24,35,2,"MS Team, Azure Cards",5
3366193,104,42,Paying,208,85,35,5,"Google, Slack, Zapier, Azure Cards, MS Team",17
3640955,23,59,Paying,11,10,45,4,"Slack, Zapier, MS Team, Azure Cards",71
4845869,14,66,Churned,7,6,34,2,"Jira, Slack",53
1122835,30,40,Paying,45,29,31,2,"Jira, Slack",99
8861631,68,54,Churned,102,53,34,2,"MS Team, Azure Cards",11
8950666,63,30,Paying,63,25,23,5,"Google, Slack, Zapier, Azure Cards, MS Team",63
7365529,117,47,Paying,117,84,34,5,"Google, Slack, Zapier, Azure Cards, MS Team",78
7294877,95,60,Churned,95,91,26,1,Slack,87
8926124,138,11,Paying,276,112,8,0,,38
8444025,232,55,Churned,348,7,27,4,"Google, Jira, Slack, Dropbox",81
4903738,224,66,Churned,0,0,32,0,,14
6397719,49,0,Churned,24,18,0,0,,83
6254838,85,5,Churned,0,0,1,2,"Jira, Slack",5
4368672,104,68,Churned,104,18,34,4,"Google, Jira, Slack, Dropbox",7
8223481,57,68,Churned,0,0,39,1,Slack,9
8919229,7,16,Paying,17,16,14,0,,67
3083635,11,56,Paying,11,10,40,2,"Jira, Zapier",29
6283606,14,9,Paying,28,7,6,5,"Google, Slack, Zapier, Azure Cards, MS Team",12
8538130,290,0,Churned,435,314,0,3,"MS Team, Azure Cards, Dropbox",66
1145211,200,70,Churned,0,0,30,2,"MS Team, Azure Cards",26
3948139,48,42,Paying,72,13,32,2,"Jira, Zapier",60
8386876,68,26,Paying,68,40,21,3,"Jira, Slack, Zapier",98
2085096,174,3,Churned,261,211,1,1,Google,11
4227662,70,15,Paying,35,34,10,3,"Dropbox, Slack, Google",58
8695855,226,52,Churned,226,113,24,0,,61
2990908,86,27,Paying,215,163,23,5,"Jira, Google, Slack, Zapier, Dropbox",6
4675184,91,3,Churned,45,32,2,2,"MS Team, Azure Cards",97
2303707,119,23,Paying,297,215,20,3,"Jira, Slack, Zapier",22
8995008,70,17,Paying,70,50,15,3,"Jira, Slack, Zapier",76
3038359,269,18,Churned,269,100,11,0,,58
2570565,27,40,Paying,27,22,34,0,,14
4803602,283,7,Churned,424,222,2,1,Jira,90
2731278,51,18,Paying,51,42,15,0,,30
8607114,134,60,Paying,201,76,49,3,"MS Team, Azure Cards, Dropbox",96
5195060,33,55,Churned,49,29,25,3,"MS Team, Azure Cards, Dropbox",20
8664765,199,24,Churned,298,232,15,3,"MS Team, Azure Cards, Dropbox",33
4990710,317,25,Churned,0,0,15,1,Azure Cards,44
4101206,100,31,Paying,150,34,23,2,"Jira, Zapier",12
2504527,56,64,Churned,0,0,26,3,"Dropbox, Slack, Google",74
8964178,227,4,Churned,227,49,4,5,"Jira, Google, Slack, Zapier, Dropbox",15
7384543,25,38,Paying,12,9,31,0,,33
2673264,13,39,Paying,32,12,29,5,"Google, Slack, Zapier, Azure Cards, MS Team",51
4891364,159,53,Paying,397,263,42,1,Azure Cards,0
4029244,2,54,Churned,0,0,25,2,"Jira, Zapier",84
2814494,51,4,Churned,0,0,3,0,,98
2365044,256,9,Churned,0,0,1,5,"Jira, Google, Slack, Zapier, Dropbox",72
3742996,8,39,Paying,12,1,31,0,,43
5016544,50,56,Churned,25,19,29,2,"Jira, Slack",96
7798518,40,68,Churned,20,10,50,0,,97
7821356,15,15,Churned,15,2,8,4,"Slack, Zapier, MS Team, Azure Cards",26
7512356,82,36,Paying,164,27,28,1,Slack,9
2449614,110,22,Paying,55,19,18,4,"Google, Jira, Slack, Dropbox",76
7702834,301,64,Churned,451,18,43,0,,74
3783244,31,18,Paying,15,10,15,5,"Jira, Google, Slack, Zapier, Dropbox",79
6878628,71,18,Paying,142,125,13,1,Zapier,60
1822594,128,23,Paying,128,110,17,2,"Jira, Zapier",35
2616554,178,25,Churned,267,58,10,1,Zapier,12
6155162,125,7,Churned,187,16,3,5,"Google, Slack, Zapier, Azure Cards, MS Team",93
8156915,31,50,Churned,0,0,19,2,"MS Team, Azure Cards",12
3818702,140,40,Paying,210,7,31,4,"Slack, Zapier, MS Team, Azure Cards",80
6983518,51,5,Paying,127,15,4,0,,84
7216509,68,4,Churned,102,46,1,3,"MS Team, Azure Cards, Dropbox",96
8965522,50,54,Paying,50,26,44,5,"Jira, Google, Slack, Zapier, Dropbox",3
3426212,245,72,Churned,245,210,41,5,"Google, Slack, Zapier, Azure Cards, MS Team",50
6572053,92,63,Churned,138,101,32,5,"Google, Slack, Zapier, Azure Cards, MS Team",97
5665078,135,1,Churned,202,129,0,2,"Jira, Zapier",25
6822766,91,54,Churned,0,0,23,5,"Google, Slack, Zapier, Azure Cards, MS Team",63
7357375,265,21,Churned,0,0,12,2,"MS Team, Azure Cards",13
6684087,117,53,Paying,234,97,44,1,Jira,83
6214559,179,53,Churned,89,66,23,4,"Google, Jira, Slack, Dropbox",66
7392197,71,30,Paying,106,53,23,3,"Dropbox, Slack, Google",21
6927847,68,21,Paying,136,50,19,1,Zapier,53
7682876,150,2,Churned,150,104,0,4,"Slack, Zapier, MS Team, Azure Cards",19
5696615,195,8,Paying,292,103,7,4,"Google, Jira, Slack, Dropbox",66
7493255,73,61,Churned,109,30,25,1,Zapier,21
8307593,72,32,Paying,144,68,23,4,"Google, Jira, Slack, Dropbox",27
4362873,38,54,Paying,57,37,42,5,"Google, Slack, Zapier, Azure Cards, MS Team",5
5977955,112,56,Paying,112,43,42,0,,55
4693481,43,9,Paying,43,11,8,5,"Jira, Google, Slack, Zapier, Dropbox",83
7461440,120,20,Paying,120,57,19,3,"Dropbox, Slack, Google",0
6744662,233,60,Churned,0,0,21,1,Azure Cards,67
4847721,23,15,Churned,0,0,3,1,Google,34
1587069,80,43,Paying,200,121,39,0,,19
6455512,265,60,Churned,265,111,26,2,"MS Team, Azure Cards",72
8409234,139,48,Paying,347,301,35,2,"Jira, Slack",62
7900275,224,70,Churned,224,75,33,1,Azure Cards,99
1651039,232,64,Churned,0,0,28,0,,69
6629821,49,6,Paying,49,47,4,3,"Jira, Slack, Zapier",30
4455637,200,14,Churned,200,100,9,0,,51
5132233,92,51,Churned,138,84,21,4,"Google, Jira, Slack, Dropbox",11
4380215,138,2,Paying,69,13,2,3,"Dropbox, Slack, Google",70
5449244,68,38,Paying,136,128,31,1,Dropbox,95
5274340,236,22,Churned,236,145,12,2,"MS Team, Azure Cards",78
1915528,271,4,Churned,406,101,0,4,"Slack, Zapier, MS Team, Azure Cards",92
5314810,41,13,Paying,82,55,10,1,Slack,77
7548404,173,75,Churned,259,93,36,0,,28
7355714,20,2,Churned,20,15,2,3,"MS Team, Azure Cards, Dropbox",67
4187568,108,23,Paying,54,33,19,0,,76
4775953,38,7,Churned,57,28,4,0,,83
7975505,22,9,Paying,33,25,8,2,"MS Team, Azure Cards",57
4790735,104,46,Paying,260,34,35,5,"Google, Slack, Zapier, Azure Cards, MS Team",84
7393486,235,58,Churned,235,110,32,5,"Google, Slack, Zapier, Azure Cards, MS Team",21
8653422,4,1,Churned,4,3,1,1,Zapier,77
2180094,5,33,Paying,2,1,25,0,,27
1958946,105,39,Paying,105,28,33,1,Azure Cards,40
5939670,45,73,Churned,45,14,37,1,Google,85
8297363,6,37,Paying,6,5,30,1,Zapier,88
4063081,160,8,Churned,160,12,8,4,"Google, Jira, Slack, Dropbox",83
3957565,55,42,Paying,82,2,34,4,"Google, Jira, Slack, Dropbox",100
8799329,172,32,Churned,0,0,17,1,Zapier,95
7978629,15,67,Churned,22,5,29,0,,20
3794286,78,65,Churned,0,0,33,5,"Google, Slack, Zapier, Azure Cards, MS Team",56
5270392,6,40,Paying,12,8,34,4,"Slack, Zapier, MS Team, Azure Cards",2
8451587,131,55,Paying,262,82,44,5,"Jira, Google, Slack, Zapier, Dropbox",11
8824920,11,28,Paying,11,0,20,5,"Jira, Google, Slack, Zapier, Dropbox",58
2125456,21,7,Paying,31,23,6,2,"Jira, Slack",90
5265248,176,52,Churned,264,156,36,5,"Jira, Google, Slack, Zapier, Dropbox",48
1365494,20,10,Paying,20,8,5,5,"Google, Slack, Zapier, Azure Cards, MS Team",46
6903406,206,70,Churned,0,0,30,1,Slack,52
1137483,110,29,Paying,55,1,22,1,Dropbox,8
1722424,86,74,Churned,129,77,33,1,Zapier,28
1616558,89,50,Churned,0,0,23,4,"Slack, Zapier, MS Team, Azure Cards",35
1701049,36,15,Paying,36,32,10,1,Dropbox,38
4989131,191,58,Churned,0,0,30,0,,29
1089812,12,60,Churned,12,1,39,5,"Jira, Google, Slack, Zapier, Dropbox",75
3440086,91,17,Churned,0,0,12,2,"MS Team, Azure Cards",25
6643217,29,60,Paying,14,8,51,0,,59
4891050,276,58,Churned,138,31,23,5,"Jira, Google, Slack, Zapier, Dropbox",55
1250221,68,54,Churned,34,31,20,3,"Jira, Slack, Zapier",6
8613005,9,62,Churned,9,0,26,2,"Jira, Zapier",49
5184118,240,70,Churned,0,0,25,4,"Slack, Zapier, MS Team, Azure Cards",23
6914465,65,58,Paying,32,23,45,0,,86
7547227,193,21,Churned,96,2,13,2,"Jira, Zapier",12
2217027,40,4,Paying,60,54,2,0,,57
3961408,102,45,Paying,255,27,37,2,"MS Team, Azure Cards",91
5692320,168,54,Churned,0,0,22,1,Slack,83
5503941,28,72,Churned,14,5,36,0,,37
5060254,96,57,Churned,144,120,22,4,"Google, Jira, Slack, Dropbox",85
5743720,58,10,Churned,87,72,8,0,,16
7904743,21,19,Paying,52,29,14,5,"Jira, Google, Slack, Zapier, Dropbox",9
5290790,209,20,Churned,104,23,14,4,"Slack, Zapier, MS Team, Azure Cards",29
7618107,15,52,Churned,22,15,23,4,"Slack, Zapier, MS Team, Azure Cards",76
3958177,153,9,Churned,153,30,6,4,"Google, Jira, Slack, Dropbox",21
4141504,207,12,Churned,310,201,0,5,"Google, Slack, Zapier, Azure Cards, MS Team",84
6727692,98,7,Paying,147,109,5,2,"MS Team, Azure Cards",77
5923757,200,67,Churned,100,98,32,5,"Jira, Google, Slack, Zapier, Dropbox",56
3786338,395,71,Churned,0,0,33,0,,73
4481262,19,38,Paying,47,26,30,1,Dropbox,33
3870620,39,24,Paying,39,35,22,4,"Slack, Zapier, MS Team, Azure Cards",18
7789076,44,69,Churned,66,29,34,4,"Google, Jira, Slack, Dropbox",97
1952410,70,2,Churned,70,16,2,4,"Google, Jira, Slack, Dropbox",98
8711468,46,56,Paying,69,34,42,0,,81
2126679,140,59,Churned,0,0,30,5,"Google, Slack, Zapier, Azure Cards, MS Team",25
5276303,90,2,Churned,135,81,0,2,"MS Team, Azure Cards",35
7253636,257,6,Paying,257,33,3,4,"Slack, Zapier, MS Team, Azure Cards",71
4468754,195,22,Paying,97,88,19,2,"Jira, Zapier",34
1215696,90,6,Churned,90,5,5,3,"MS Team, Azure Cards, Dropbox",12
8773416,21,33,Paying,42,26,26,3,"MS Team, Azure Cards, Dropbox",63
7290784,221,38,Paying,331,52,28,4,"Google, Jira, Slack, Dropbox",65
8274370,76,60,Paying,38,14,50,5,"Jira, Google, Slack, Zapier, Dropbox",20
5381779,60,2,Churned,60,46,2,2,"Jira, Zapier",82
8261275,16,16,Paying,40,3,15,3,"MS Team, Azure Cards, Dropbox",76
4752729,109,36,Paying,163,142,31,1,Slack,64
1209223,17,51,Churned,17,0,30,5,"Jira, Google, Slack, Zapier, Dropbox",39
5225009,137,56,Churned,0,0,26,5,"Google, Slack, Zapier, Azure Cards, MS Team",28
5264481,46,7,Paying,115,105,6,3,"MS Team, Azure Cards, Dropbox",83
8487121,22,25,Paying,44,21,19,0,,41
5589852,99,42,Paying,148,13,37,3,"Dropbox, Slack, Google",40
6377750,48,60,Paying,120,101,46,3,"Jira, Slack, Zapier",5
3213307,81,27,Paying,202,93,22,4,"Google, Jira, Slack, Dropbox",90
8507285,91,39,Paying,182,9,30,1,Google,69
3750494,65,9,Paying,162,55,5,5,"Jira, Google, Slack, Zapier, Dropbox",39
5567425,151,49,Paying,226,89,37,0,,63
3011883,104,19,Paying,156,49,12,3,"Dropbox, Slack, Google",63
6854962,139,20,Paying,139,24,16,0,,37
2910861,225,8,Churned,112,88,5,4,"Google, Jira, Slack, Dropbox",62
3424570,17,54,Churned,0,0,27,3,"MS Team, Azure Cards, Dropbox",22
4005142,144,60,Churned,72,31,36,0,,74
8849778,278,43,Paying,139,107,36,3,"Dropbox, Slack, Google",18
4881712,123,21,Paying,307,132,17,4,"Google, Jira, Slack, Dropbox",93
3727229,270,18,Paying,270,216,16,1,MS Team,61
3202024,224,44,Paying,560,107,38,0,,87
6675246,2,57,Paying,5,3,48,1,Zapier,9
3229183,26,16,Churned,0,0,16,3,"MS Team, Azure Cards, Dropbox",8
1132687,109,56,Paying,109,101,46,2,"Jira, Zapier",33
4860844,201,1,Churned,0,0,1,1,Google,80
3679743,65,19,Paying,32,0,15,3,"MS Team, Azure Cards, Dropbox",37
5872337,139,45,Paying,69,1,38,4,"Slack, Zapier, MS Team, Azure Cards",22
7994708,39,34,Paying,39,34,25,3,"Dropbox, Slack, Google",28
6957409,230,41,Paying,115,86,30,2,"Jira, Zapier",14
1526772,159,1,Churned,0,0,1,5,"Google, Slack, Zapier, Azure Cards, MS Team",50
6059936,78,59,Churned,39,5,30,2,"Jira, Slack",43
3153092,151,57,Churned,226,50,24,4,"Slack, Zapier, MS Team, Azure Cards",51
4229308,43,58,Paying,107,61,47,5,"Jira, Google, Slack, Zapier, Dropbox",71
1458980,63,10,Paying,157,151,9,4,"Slack, Zapier, MS Team, Azure Cards",40
4885553,368,71,Churned,184,171,36,5,"Google, Slack, Zapier, Azure Cards, MS Team",72
3067731,79,27,Paying,118,103,22,0,,82
8341144,111,36,Paying,55,17,28,1,Google,92
6542436,75,14,Paying,37,12,10,2,"Jira, Slack",54
2836689,104,1,Paying,156,71,1,5,"Jira, Google, Slack, Zapier, Dropbox",33
1401329,352,16,Churned,176,152,0,2,"MS Team, Azure Cards",93
6443201,35,5,Paying,35,5,0,0,,61
7412047,324,11,Churned,0,0,5,3,"MS Team, Azure Cards, Dropbox",37
5708960,47,7,Paying,23,4,6,5,"Google, Slack, Zapier, Azure Cards, MS Team",82
1387021,72,55,Paying,180,31,43,3,"MS Team, Azure Cards, Dropbox",62
5039521,90,14,Churned,45,19,5,5,"Jira, Google, Slack, Zapier, Dropbox",52
6199302,234,9,Churned,0,0,4,1,Jira,10
2505480,12,68,Churned,18,13,31,4,"Google, Jira, Slack, Dropbox",20
6578435,10,58,Paying,15,0,47,0,,64
8562271,35,48,Paying,17,8,39,2,"Jira, Zapier",12
8811305,204,47,Paying,204,172,37,1,Zapier,84
7244476,6,38,Paying,6,5,28,3,"MS Team, Azure Cards, Dropbox",32
1286370,122,23,Paying,244,217,16,1,Slack,97
5779040,68,18,Paying,102,31,18,2,"Jira, Zapier",44
8085807,119,3,Churned,119,99,0,2,"Jira, Slack",48
2053893,115,35,Paying,115,32,29,4,"Slack, Zapier, MS Team, Azure Cards",61
4739854,39,1,Churned,0,0,0,3,"MS Team, Azure Cards, Dropbox",24
8675543,91,9,Churned,91,52,9,2,"Jira, Zapier",58
4432749,48,17,Paying,48,7,13,1,Dropbox,94
3634270,28,2,Churned,0,0,0,1,Dropbox,89
4889628,22,12,Churned,33,8,1,0,,56
6158555,39,40,Paying,78,58,31,3,"MS Team, Azure Cards, Dropbox",24
1095107,36,9,Churned,0,0,5,4,"Google, Jira, Slack, Dropbox",40
8197302,138,59,Churned,69,60,22,5,"Google, Slack, Zapier, Azure Cards, MS Team",3
8005734,8,32,Paying,8,5,23,4,"Slack, Zapier, MS Team, Azure Cards",40
6942855,253,3,Churned,0,0,3,5,"Google, Slack, Zapier, Azure Cards, MS Team",67
7911601,169,7,Churned,0,0,4,0,,65
8214192,124,71,Churned,0,0,28,2,"Jira, Zapier",7
3572366,47,17,Paying,47,4,17,5,"Google, Slack, Zapier, Azure Cards, MS Team",53
7626401,21,2,Churned,10,6,2,0,,32
5179094,33,62,Churned,49,16,29,4,"Slack, Zapier, MS Team, Azure Cards",81
1988973,10,20,Churned,5,0,12,0,,90
6530630,48,73,Churned,72,44,33,1,MS Team,57
3884424,114,25,Paying,228,191,19,0,,83
8400883,5,66,Churned,5,2,28,4,"Slack, Zapier, MS Team, Azure Cards",63
2297993,37,56,Churned,18,11,26,2,"Jira, Zapier",63
4976407,20,1,Churned,0,0,1,4,"Slack, Zapier, MS Team, Azure Cards",7
1289615,77,17,Paying,77,70,14,2,"Jira, Zapier",95
8293839,62,74,Churned,0,0,27,3,"Jira, Slack, Zapier",86
2886320,104,10,Churned,52,1,3,3,"Jira, Slack, Zapier",46
6064727,243,2,Paying,486,306,2,0,,76
4814160,39,51,Paying,39,14,38,4,"Slack, Zapier, MS Team, Azure Cards",78
6439299,86,72,Churned,0,0,29,5,"Jira, Google, Slack, Zapier, Dropbox",41
7692658,133,15,Paying,332,103,13,1,Slack,21
7728463,179,60,Paying,358,31,44,0,,11
3768805,181,1,Churned,0,0,1,1,MS Team,55
8315902,250,9,Churned,0,0,2,0,,78
1020618,18,66,Churned,0,0,32,0,,74
7824260,39,6,Churned,0,0,1,4,"Google, Jira, Slack, Dropbox",57
6616791,95,64,Churned,95,13,30,0,,24
7584180,214,59,Churned,214,46,25,3,"Jira, Slack, Zapier",92
4871442,88,50,Paying,176,45,40,2,"Jira, Zapier",83
